STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,reportType,HourlySkyConditions,HourlyVisibility,HourlyPresentWeatherType,HourlyDryBulbTemperatureF,HourlyDryBulbTemperatureC,HourlyWetBulbTemperatureF,HourlyWetBulbTemperatureC,HourlyDewPointTemperatureF,HourlyDewPointTemperatureC,HourlyRelativeHumidity,HourlyWindSpeed,HourlyWindDirection,HourlyWindGustSpeed,HourlyStationPressure,HourlyPressureTendency,HourlyPressureChange,HourlySeaLevelPressure,HourlyPrecipitation,HourlyAltimeterSetting,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyAverageDryBulbTemperature,DailyDepartureFromNormalAverageTemperature,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageWetBulbTemperature,DailyHeatingDegreeDays,DailyCoolingDegreeDays,DailySunrise,DailySunset,DailyPrecipitation,DailySnowfall,DailySnowDepth,DailyAverageStationPressure,DailyAverageSeaLevelPressure,DailyAverageWindSpeed,DailyPeakWindSpeed,PeakWindDirection,DailySustainedWindSpeed,DailySustainedWindDirection
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 0:51,FM-15,SCT:04 70 OVC:08 90,10,,30,-1.1,26,-3.4,16,-8.9,56,9,330,,29.28,,,30.02,,30,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 1:51,FM-15,OVC:08 50,10,,30,-1.1,26,-3.3,17,-8.3,58,0,0,,29.27,,,30.02,,29.99,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 2:51,FM-15,OVC:08 29,6,-SN:03 |SN:71 |,29,-1.7,26,-3.2,21,-6.1,72,8,330,,29.28,1,-0.03,30.02,0.01s,30,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 3:51,FM-15,VV:09 9,0.75,-SN:03 |SN:71 |,28,-2.2,26,-3.3,23,-5,81,0,0,,29.29,,,30.04,0.03,30.01,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 4:51,FM-15,OVC:08 8,10,,26,-3.3,24,-4.5,20,-6.7,78,11,350,,29.32,,,30.06,0.01,30.04,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 5:51,FM-15,BKN:07 10 OVC:08 20,10,,25,-3.9,22,-5.3,17,-8.3,72,11,360,,29.35,3,-0.07,30.09,,30.07,,,,,,,,,,1227,2342,0.06,,3,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 6:51,FM-15,BKN:07 12 OVC:08 20,5,HZ:7 |FU:05 |HZ:05,23,-5,21,-6.4,15,-9.4,72,7,360,,29.37,,,30.12,,30.09,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 7:51,FM-15,BKN:07 14 OVC:08 25,10,,21,-6.1,18,-7.5,12,-11.1,68,11,360,,29.42,,,30.17,,30.14,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 8:51,FM-15,OVC:08 27,9,,21,-6.1,18,-7.6,11,-11.7,65,9,360,,29.45,2,-0.09,30.19,,30.17,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,201.8,41.995,-87.9336,3/1/2014 9:51,FM-15,SCT:04 27 OVC:08 35,10,,21,-6.1,18,-7.7,10,-12.2,62,9,360,,29.46,,,30.21,,30.18,,,,,,,,,,1227,2342,,,,,,,,,,
