STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,reportType,HourlySkyConditions,HourlyVisibility,HourlyPresentWeatherType,HourlyDryBulbTemperatureF,HourlyDryBulbTemperatureC,HourlyWetBulbTemperatureF,HourlyWetBulbTemperatureC,HourlyDewPointTemperatureF,HourlyDewPointTemperatureC,HourlyRelativeHumidity,HourlyWindSpeed,HourlyWindDirection,HourlyWindGustSpeed,HourlyStationPressure,HourlyPressureTendency,HourlyPressureChange,HourlySeaLevelPressure,HourlyPrecipitation,HourlyAltimeterSetting,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyAverageDryBulbTemperature,DailyDepartureFromNormalAverageTemperature,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageWetBulbTemperature,DailyHeatingDegreeDays,DailyCoolingDegreeDays,DailySunrise,DailySunset,DailyPrecipitation,DailySnowfall,DailySnowDepth,DailyAverageStationPressure,DailyAverageSeaLevelPressure,DailyAverageWindSpeed,DailyPeakWindSpeed,PeakWindDirection,DailySustainedWindSpeed,DailySustainedWindDirection
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 00:51:00,FM-15,SCT:04 70 OVC:08 90,10.0,,30.0,-1.1,26.0,-3.4,16.0,-8.9,56.0,9.0,330,,29.28,,,30.02,,30.0,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 01:51:00,FM-15,OVC:08 50,10.0,,30.0,-1.1,26.0,-3.3,17.0,-8.3,58.0,0.0,0,,29.27,,,30.02,,29.99,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 02:51:00,FM-15,OVC:08 29,6.0,-SN:03 |SN:71 |,29.0,-1.7,26.0,-3.2,21.0,-6.1,72.0,8.0,330,,29.28,1.0,-0.03,30.02,0.01s,30.0,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 03:51:00,FM-15,VV:09 9,0.75,-SN:03 |SN:71 |,28.0,-2.2,26.0,-3.3,23.0,-5.0,81.0,0.0,0,,29.29,,,30.04,0.03,30.01,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 04:51:00,FM-15,OVC:08 8,10.0,,26.0,-3.3,24.0,-4.5,20.0,-6.7,78.0,11.0,350,,29.32,,,30.06,0.01,30.04,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 05:51:00,FM-15,BKN:07 10 OVC:08 20,10.0,,25.0,-3.9,22.0,-5.3,17.0,-8.3,72.0,11.0,360,,29.35,3.0,-0.07,30.09,,30.07,,,,,,,,,,1227,2342,0.06,,3.0,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 06:51:00,FM-15,BKN:07 12 OVC:08 20,5.0,HZ:7 |FU:05 |HZ:05,23.0,-5.0,21.0,-6.4,15.0,-9.4,72.0,7.0,360,,29.37,,,30.12,,30.09,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 07:51:00,FM-15,BKN:07 14 OVC:08 25,10.0,,21.0,-6.1,18.0,-7.5,12.0,-11.1,68.0,11.0,360,,29.42,,,30.17,,30.14,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 08:51:00,FM-15,OVC:08 27,9.0,,21.0,-6.1,18.0,-7.6,11.0,-11.7,65.0,9.0,360,,29.45,2.0,-0.09,30.19,,30.17,,,,,,,,,,1227,2342,,,,,,,,,,
WBAN:94846,201.8,41.995,-87.9336,2014-03-01 09:51:00,FM-15,SCT:04 27 OVC:08 35,10.0,,21.0,-6.1,18.0,-7.7,10.0,-12.2,62.0,9.0,360,,29.46,,,30.21,,30.18,,,,,,,,,,1227,2342,,,,,,,,,,
